Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
6/16/2015,3767.4,3810.55,3744.7,3810,3789.6,228783,8614.31
6/17/2015,3805,3824.9,3793,3797.3,3808.75,291820,11114.09
6/18/2015,3813,3891.95,3812,3888,3861.1,232645,8946.76
6/19/2015,3879,3949.5,3862,3948,3937.35,309290,12093.15
6/22/2015,3955.05,3994.9,3955.05,3980,3980.65,230791,9178.08
6/23/2015,3982,4028.5,3955.3,4012.95,4017.15,330957,13247.7
6/24/2015,4024,4035.65,3987.05,3995,4009.3,306048,12276.92
6/25/2015,3984,4043.7,3983.6,4040.2,4031.5,240888,9686.45
6/26/2015,4026,4077.4,4006.15,4063,4069.95,291925,11823.56
6/29/2015,4020,4025.75,3961.1,3997.8,3993.3,344044,13725.45
6/30/2015,3985.25,4060,3985.25,4017.2,4023.35,340789,13730.9
7/1/2015,4034.9,4089.85,4026,4030.35,4031.7,380963,15451.53
7/2/2015,4031.5,4049,3981.15,3989,3993.4,322025,12930.25
7/3/2015,3993.4,4020,3977.1,4005,3998.9,279389,11163.96
7/6/2015,3984.9,4005,3975.05,3988,3987.95,332811,13266.15
7/7/2015,3989,4003.8,3955.7,3973,3972.15,287981,11434.99
7/8/2015,3950,3969,3907,3948,3949,252360,9949.78
7/9/2015,3950,3967.9,3928.5,3931,3935.65,128065,5043.97
7/10/2015,3949.7,3962,3918.9,3936.35,3934.4,184572,7271.13
7/13/2015,3958.7,4040,3940,4037.6,4035.25,335198,13417.95
7/14/2015,4049.7,4058.95,4020.15,4045,4050.65,251002,10150.95
7/15/2015,4071,4179.95,4071,4151.55,4152.15,551469,22884.77
7/16/2015,4166,4190,4156,4175.75,4178.15,321651,13433.33
7/17/2015,4186,4228.95,4164.1,4185,4193,241023,10111.75
7/20/2015,4208,4219,4161.1,4173,4176.05,207897,8696.01
7/21/2015,4176.95,4194.95,4141.45,4157.35,4152.85,146004,6084.46
7/22/2015,4139.8,4199,4134,4180.05,4191.15,305466,12792.63
7/23/2015,4198.9,4245.5,4193.05,4233.2,4234.05,229845,9725.9
7/24/2015,4237.95,4261.9,4205.4,4233.45,4234.2,226189,9581.86
7/27/2015,4241.55,4241.55,4166.6,4184,4178.1,220316,9252.77
7/28/2015,4207.9,4242,4151.6,4200,4196.95,940179,39477.89
7/29/2015,4224.9,4309.5,4171.2,4274,4273.7,819323,34770.54
7/30/2015,4310,4318,4281.05,4288.85,4296.45,294361,12647.7
7/31/2015,4297,4359,4284.2,4332,4331.45,297226,12878.92
8/3/2015,4380,4439,4380,4434,4427.05,341893,15116.53
8/4/2015,4449,4453.95,4411.45,4439.65,4438.8,313075,13879.55
8/5/2015,4457,4484,4422.25,4469.4,4471.65,198485,8854.66
